Payment Refund ID,Payment ID,Refund Date,Refund Mode,Refund From Account,Amount (BCY),Reference Number,Exchange Rate,Created Time,Last Modified Time
4198696000012439702,4198696000012439640,19 Nov 2024,Efectivo/Cash,4198696000000418009,CRC 500.00,,CRC 1.00,2024-11-19 15:44:18,2024-11-19 15:44:18
4198696000012517204,4198696000012439997,20 Nov 2024,SINPE,4198696000000375167,"CRC 1,350.00",,CRC 1.00,2024-11-20 09:26:30,2024-11-20 09:26:30
4198696000014230002,4198696000012574523,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,000.00",,CRC 1.00,2024-12-17 11:15:32,2024-12-17 11:15:32
4198696000014230022,4198696000012613083,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,740.00",,CRC 1.00,2024-12-17 11:15:55,2024-12-17 11:15:55
4198696000012643318,4198696000012643300,21 Nov 2024,Efectivo/Cash,4198696000000418009,"CRC 5,000.00",,CRC 1.00,2024-11-21 14:22:30,2024-11-21 14:22:30
4198696000012840433,4198696000012840415,25 Nov 2024,Efectivo/Cash,4198696000000418009,"CRC 5,000.00",,CRC 1.00,2024-11-25 14:54:49,2024-11-25 14:54:49
4198696000014230042,4198696000012879160,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,000.00",,CRC 1.00,2024-12-17 11:16:24,2024-12-17 11:16:24
4198696000013368666,4198696000012949550,26 Nov 2024,Bank Payment - Other,4198696000000375167,"CRC 2,200.00",,CRC 1.00,2024-12-05 16:48:48,2024-12-05 16:48:48
4198696000014230062,4198696000013116424,17 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 250.00,,CRC 1.00,2024-12-17 11:16:45,2024-12-17 11:16:45
4198696000013181135,4198696000013127194,29 Nov 2024,SINPE,4198696000000375167,"CRC 4,000.00",,CRC 1.00,2024-11-30 09:37:04,2024-11-30 09:37:04
4198696000014230082,4198696000013127644,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 3,000.00",,CRC 1.00,2024-12-17 11:18:42,2024-12-17 11:18:42
4198696000013294752,4198696000013224785,02 Dec 2024,SINPE,4198696000000375167,"CRC 2,300.00",,CRC 1.00,2024-12-02 17:35:33,2024-12-02 17:35:33
4198696000013383617,4198696000013337907,04 Dec 2024,SINPE,4198696000000375167,"CRC 2,700.00",,CRC 1.00,2024-12-04 17:51:02,2024-12-04 17:51:02
4198696000013337989,4198696000013337971,03 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 200.00,,CRC 1.00,2024-12-03 14:05:08,2024-12-03 14:05:08
4198696000013383597,4198696000013369183,04 Dec 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-12-04 17:50:36,2024-12-04 17:50:36
4198696000014230102,4198696000013392259,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 3,300.00",,CRC 1.00,2024-12-17 11:19:07,2024-12-17 11:19:07
4198696000014230122,4198696000013392301,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,000.00",,CRC 1.00,2024-12-17 11:19:26,2024-12-17 11:19:26
4198696000014230174,4198696000013405125,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,100.00",,CRC 1.00,2024-12-17 11:21:08,2024-12-17 11:21:08
4198696000014230194,4198696000013436789,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 3,000.00",,CRC 1.00,2024-12-17 11:21:29,2024-12-17 11:21:29
4198696000013486889,4198696000013486432,06 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 190.00,,CRC 1.00,2024-12-06 15:07:46,2024-12-06 15:07:46
4198696000014230214,4198696000013486739,17 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 700.00,,CRC 1.00,2024-12-17 11:21:47,2024-12-17 11:21:47
4198696000013693155,4198696000013569085,10 Dec 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-12-10 16:22:17,2024-12-10 16:22:17
4198696000013693135,4198696000013582793,10 Dec 2024,SINPE,4198696000000375167,CRC 900.00,,CRC 1.00,2024-12-10 16:21:30,2024-12-10 16:21:30
4198696000013664885,4198696000013598686,10 Dec 2024,Efectivo/Cash,4198696000000418009,CRC 300.00,,CRC 1.00,2024-12-10 12:45:25,2024-12-10 12:45:25
4198696000013664835,4198696000013664109,10 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 10,000.00",,CRC 1.00,2024-12-10 12:43:13,2024-12-10 12:43:13
4198696000014230234,4198696000013889105,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,700.00",,CRC 1.00,2024-12-17 11:22:08,2024-12-17 11:22:08
4198696000014032171,4198696000014032099,13 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 3,000.00",,CRC 1.00,2024-12-13 11:16:55,2024-12-13 11:16:55
4198696000014348364,4198696000014069643,18 Dec 2024,SINPE,4198696000000375167,"CRC 1,600.00",,CRC 1.00,2024-12-19 09:47:00,2024-12-19 09:47:00
4198696000014230254,4198696000014105160,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 2,000.00",,CRC 1.00,2024-12-17 11:22:28,2024-12-17 11:22:28
4198696000014230274,4198696000014157517,17 Dec 2024,Efectivo/Cash,4198696000000418009,"CRC 1,600.00",,CRC 1.00,2024-12-17 11:22:45,2024-12-17 11:22:45
4198696000014285601,4198696000014236526,17 Dec 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-12-18 11:44:39,2024-12-18 11:44:39
4198696000014572043,4198696000014313161,23 Dec 2024,SINPE,4198696000000375167,"CRC 3,200.00",,CRC 1.00,2024-12-24 09:07:43,2024-12-24 09:07:43
4198696000014572003,4198696000014313545,23 Dec 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-12-24 09:06:31,2024-12-24 09:06:31
4198696000014572023,4198696000014481079,23 Dec 2024,SINPE,4198696000000375167,"CRC 3,000.00",,CRC 1.00,2024-12-24 09:07:07,2024-12-24 09:07:07
4198696000014814003,4198696000014810081,30 Dec 2024,SINPE,4198696000000375167,"CRC 2,300.00",,CRC 1.00,2024-12-30 12:35:53,2024-12-30 12:35:53
4198696000015257053,4198696000015257035,08 Jan 2025,SINPE,4198696000000375167,"CRC 32,400.00",,CRC 1.00,2025-01-08 14:55:42,2025-01-08 14:55:42
4198696000015404025,4198696000015257574,10 Jan 2025,SINPE,4198696000000375167,"CRC 3,700.00",,CRC 1.00,2025-01-10 12:29:02,2025-01-10 12:29:02
4198696000015389006,4198696000015314478,10 Jan 2025,Efectivo/Cash,4198696000000418009,CRC 300.00,,CRC 1.00,2025-01-10 12:00:31,2025-01-10 12:00:31
