Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000018113117,06 Feb 2025,"CRC 18,105.43",2025-02-14 11:26:33,"CRC 18,105.43",2025-02-14 11:26:33
4198696000018489199,06 Feb 2025,"CRC 22,434.23",2025-02-21 10:48:31,"CRC 22,434.23",2025-02-21 10:48:31
4198696000018489213,14 Feb 2025,"CRC 9,460.93",2025-02-21 11:09:05,"CRC 9,460.93",2025-02-21 11:09:05
4198696000018489239,12 Feb 2025,"CRC 6,638.98",2025-02-21 11:28:29,"CRC 6,638.98",2025-02-21 11:28:29
4198696000018869166,06 Feb 2025,CRC 0.02,2025-02-28 11:00:28,CRC 0.02,2025-02-28 11:00:28
4198696000018869110,11 Feb 2025,"CRC 15,707.00",2025-02-28 10:59:14,"CRC 15,707.00",2025-02-28 10:59:14
4198696000018869082,18 Feb 2025,"CRC 90,902.62",2025-02-28 10:57:06,"CRC 90,902.62",2025-02-28 10:57:06
4198696000018869124,14 Feb 2025,"CRC 101,700.00",2025-02-28 10:59:29,"CRC 101,700.00",2025-02-28 10:59:29
4198696000018869152,14 Feb 2025,"CRC 13,006.60",2025-02-28 10:59:55,"CRC 13,006.60",2025-02-28 10:59:55
4198696000018869138,14 Feb 2025,"CRC 9,012.86",2025-02-28 10:59:44,"CRC 9,012.86",2025-02-28 10:59:44
4198696000018869180,17 Feb 2025,"CRC 11,187.00",2025-02-28 11:00:53,"CRC 11,187.00",2025-02-28 11:00:53
4198696000018869194,20 Feb 2025,"CRC 22,600.00",2025-02-28 11:13:05,"CRC 22,600.00",2025-02-28 11:13:05
4198696000018869068,19 Feb 2025,"CRC 489,260.39",2025-02-28 10:56:33,"CRC 489,260.39",2025-02-28 10:56:33
4198696000018869096,26 Feb 2025,"CRC 20,340.00",2025-02-28 10:58:06,"CRC 20,340.00",2025-02-28 10:58:06
4198696000019165437,17 Feb 2025,"CRC 22,898.33",2025-03-06 12:20:38,"CRC 22,898.33",2025-03-06 12:20:38
