Expense ID,Customer ID,Vendor ID,Expense Date,Is Billable,Total (BCY),Paid Through,Created Time,Status,Sub Total (BCY),Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Merchant ID,Merchant Name,User ID,Report ID,Report Number,Employee Paid Through,Currency Code,Exchange Rate,Last Modified Time
4198696000034330704,,4198696000000960013,27 Oct 2025,No,"CRC 2,500.00",4198696000000298225,2025-11-07 14:16:47,Non-Billable,"CRC 2,212.39",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:47
4198696000034330620,,4198696000000960013,27 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:46,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:46
4198696000034330592,,4198696000000960013,24 Oct 2025,No,"CRC 2,000.10",4198696000000298225,2025-11-07 14:16:46,Non-Billable,"CRC 1,770.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:46
4198696000034328064,,4198696000000960013,24 Oct 2025,No,"CRC 15,000.00",4198696000000298225,2025-11-07 14:16:26,Non-Billable,"CRC 15,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:26
4198696000034328036,,4198696000000960013,24 Oct 2025,No,"CRC 7,000.00",4198696000000298225,2025-11-07 14:16:26,Non-Billable,"CRC 7,000.00",0.00,,,,40086.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:26
4198696000033274635,,,24 Oct 2025,No,CRC 0.03,4198696000027079124,2025-10-28 16:54:07,Non-Billable,CRC 0.03,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-10-28 16:54:07
4198696000033501741,,,23 Oct 2025,No,"CRC 1,531.50",4198696000000375179,2025-11-04 09:53:38,Non-Billable,"CRC 1,531.50",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-04 09:53:38
4198696000034330536,,4198696000000960013,23 Oct 2025,No,"CRC 1,975.00",4198696000000298225,2025-11-07 14:16:46,Non-Billable,"CRC 1,747.79",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:46
4198696000034330564,,4198696000000960013,23 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:46,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:46
4198696000034328996,,4198696000000960013,23 Oct 2025,No,"CRC 4,923.76",4198696000000298225,2025-11-07 14:16:34,Non-Billable,"CRC 4,357.31",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:34
4198696000034329024,,4198696000000960013,23 Oct 2025,No,CRC 76.24,4198696000000298225,2025-11-07 14:16:34,Non-Billable,CRC 76.24,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:34
4198696000034328008,,4198696000000960013,23 Oct 2025,No,"CRC 4,000.00",4198696000000298225,2025-11-07 14:16:26,Non-Billable,"CRC 4,000.00",0.00,,,,7238.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:26
4198696000034328428,,4198696000000960013,22 Oct 2025,No,"CRC 5,500.00",4198696000000298225,2025-11-07 14:16:29,Non-Billable,"CRC 5,500.00",0.00,,,,24797.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:29
4198696000034328372,,4198696000000960013,21 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:29,Non-Billable,"CRC 5,000.00",0.00,,,,39822.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:29
4198696000034330480,,4198696000000960013,21 Oct 2025,No,"CRC 3,000.00",4198696000000298225,2025-11-07 14:16:45,Non-Billable,"CRC 2,654.87",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:45
4198696000034328680,,4198696000000960013,21 Oct 2025,No,CRC 265.01,4198696000000298225,2025-11-07 14:16:31,Non-Billable,CRC 265.01,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:31
4198696000034330452,,4198696000000960013,21 Oct 2025,No,"CRC 2,300.00",4198696000000298225,2025-11-07 14:16:45,Non-Billable,"CRC 2,035.40",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:45
4198696000034330508,,4198696000000960013,21 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:45,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:45
4198696000034328344,,4198696000000960013,21 Oct 2025,No,"CRC 10,000.00",4198696000000298225,2025-11-07 14:16:28,Non-Billable,"CRC 10,000.00",0.00,,,,9257.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:28
