Item_ID,inv.SKU,On_Hand_Qty
4198696000001039996,118-124,36
4198696000001040032,118-153,38
4198696000001040068,118-163,36
4198696000001040104,118-209,40
4198696000001040140,118-60,38
4198696000001040176,118-84,35
4198696000001040212,173-36,2
4198696000001040248,15-256,50
4198696000001040284,214-30,20
4198696000001040320,245-327,5
4198696000001040356,257-16,20
4198696000001040392,39-171,10
4198696000001040428,40-329,10
4198696000001040464,88-16,18
4198696000001040500,88-33,12
4198696000001040536,88-41,20
4198696000001040572,88-53,16
4198696000001040608,351-142,1
4198696000001040644,351-189,1
4198696000001040680,351-258,1
4198696000001040716,351-381,1
4198696000001040752,393-106,4
4198696000001040788,393-124,3
4198696000001040824,393-83,2
4198696000001040860,393-111,3
4198696000001040896,393-193,5
4198696000001040932,67-48,6
4198696000001040968,77-14,197
4198696000001041004,77-2,162
4198696000001041040,77-4,196
4198696000001041076,93-1,20
4198696000001041112,93-21,68
4198696000001045425,512-001,2
4198696000001045461,512-005,2
4198696000001045497,512-009,2
4198696000001045533,512-013,0
4198696000001045569,512-017,0
4198696000001045605,512-021,4
4198696000001045641,512-025,5
4198696000001045677,512-029,2
4198696000001045713,512-034,2
4198696000001045749,512-038,0
4198696000001045785,512-042,4
4198696000001045821,512-046,4
4198696000001045857,512-050,3
4198696000001045893,512-054,3
4198696000001045929,512-058,5
4198696000001045965,512-062,5
4198696000001046001,512-066,2
4198696000001046037,512-070,4
4198696000001046073,512-074,0
4198696000001046109,512-078,4
4198696000001046145,512-082,1
4198696000001046181,512-086,4
4198696000001046217,512-090,0
4198696000001046253,512-094,1
4198696000001046289,512-098,3
4198696000001046325,512-102,5
4198696000001046361,512-106,5
4198696000001046397,512-110,5
4198696000001046433,512-114,5
4198696000001046469,512-118,1
4198696000001046505,512-122,2
4198696000001046541,512-126,5
4198696000001046577,512-130,4
4198696000001046613,512-134,2
4198696000001046649,512-138,4
4198696000001046685,512-142,5
4198696000001046721,512-146,3
4198696000001046757,512-150,0
4198696000001046793,512-154,4
4198696000001046829,512-158,5
4198696000001048221,1000-0003,4
4198696000001048257,1000-0007,12
4198696000001048293,1000-0011,13
4198696000001057513,512-161,2
4198696000001085209,800-001,0
4198696000001086349,515-004,9
4198696000001086385,515-008,6
4198696000001086421,516-001,3
4198696000001086457,516-005,7
4198696000001089091,127-1003,6
4198696000001089127,127-1007,98
4198696000001089163,127-1011,76
4198696000001089199,127-1015,56
4198696000001089235,127-1019,84
4198696000001089271,127-1023,24
4198696000001089307,21-2001,1.8
4198696000001089343,21-2005,0.61
4198696000001096295,523-0001,2
4198696000001096331,523-0005,3
4198696000001096367,523-0009,3
4198696000001096403,523-0013,2
4198696000001096439,523-0017,2
4198696000001096475,523-0021,1
4198696000001096511,523-0025,2
4198696000001096547,523-0029,3
4198696000001096583,523-0033,3
4198696000001108001,502-086,1
4198696000001153001,800-006,0
4198696000001197118,800-009,0
4198696000001223001,800-013,0
4198696000001223125,800-017,0
4198696000001338175,526-0001,0
4198696000001353971,2000-2,
4198696000001406228,524-0003,1
4198696000001406264,524-0007,2
4198696000001406300,524-0011,2
4198696000001406336,524-0015,2
4198696000001406372,524-0019,2
4198696000001406408,524-0023,2
4198696000001406444,524-0027,2
4198696000001406480,524-0031,2
4198696000001406516,524-0051,2
4198696000001406552,524-0055,1
4198696000001406588,524-0059,2
4198696000001406624,524-0063,2
4198696000001406660,524-0067,2
4198696000001406696,524-0071,2
4198696000001406732,524-0075,2
4198696000001406768,524-0079,4
4198696000001406804,524-0083,2
4198696000001406840,524-0087,1
4198696000001406876,524-0091,2
4198696000001406912,524-0095,2
4198696000001406948,524-0099,2
4198696000001406984,524-0103,2
4198696000001407020,524-0107,2
4198696000001407056,524-0111,2
4198696000001407092,524-0115,2
4198696000001407128,524-0119,2
4198696000001407164,524-0123,2
4198696000001407200,524-0127,2
4198696000001407236,524-0131,2
4198696000001407272,524-0135,2
4198696000001407308,524-0139,2
4198696000001407344,525-0001,5
4198696000001407380,525-0005,2
4198696000001407416,525-0009,1
4198696000001407452,525-0013,1
4198696000001407488,524-0500,2
4198696000001407524,524-0504,1
4198696000001407560,524-0508,1
4198696000001407596,524-0513,1
4198696000001407632,524-0517,1
4198696000001407668,524-0521,1
4198696000001407704,524-0525,1
4198696000001407740,524-0529,1
4198696000001407776,524-0533,1
4198696000001407812,524-0537,1
4198696000001407848,524-0541,1
4198696000001407884,524-0545,2
4198696000001407920,524-0549,2
