Item_ID,SKU,Sales_24M_Qty,Sales_24M_Net
4198696000023573120,800-3351,1,21400
4198696000023558723,800-3348,1,27600
4198696000023529964,800-3343,1,52250
4198696000023529850,800-3341,3,69431.79
4198696000023529213,800-3337,1,12420
4198696000023474750,72-3186,4,28101.77
4198696000023474258,800-3335,1,17200
4198696000023465786,800-3331,1,16500
4198696000023465563,3-180,2,5942.34
4198696000023455008,800-3325,2,48800
4198696000023445019,800-3321,1,10580
4198696000023434540,800-3318,1,35000
4198696000023429274,800-3314,1,17600
4198696000023416973,800-3311,1,16836
4198696000023403048,800-3307,1,7315
4198696000023398499,517-1150,2,59202.55
4198696000023398280,800-3301,1,65964
4198696000023383591,517-1146,1,36000
4198696000023379905,800-3295,1,8100
4198696000023373585,800-3293,3,30610
4198696000023373272,800-3292,1,39200
4198696000023351915,72-3184,8,57490
4198696000023351904,72-3183,12,79488
4198696000023351893,72-3182,8,68340
4198696000023351176,800-3286,1,5704
4198696000023214271,800-3282,1,7000
4198696000023138346,72-3181,2,10800
4198696000023138335,72-3180,5,27000
4198696000023132577,800-3275,1,9000
4198696000023129944,800-3271,2,21800
4198696000023124613,800-3267,2,75624
4198696000023124327,800-3263,1,45000
4198696000023124082,800-3262,1,42136
4198696000023076082,800-3260,2,35200
4198696000023024672,800-3258,1,53360
4198696000023004721,800-3254,1,9000
4198696000022953441,800-3249,1,3900
4198696000022937573,800-3245,1,63480
4198696000022933561,800-3241,1,11700
4198696000022933044,800-3238,1,475000
4198696000022901746,800-3236,3,36061.95
4198696000022897299,800-3232,1,117500
4198696000022839649,800-3229,1,45100
4198696000022839172,106-39,47,304206.35
4198696000022837905,800-3225,8,197728
4198696000022837599,517-1154,2,108204.14
4198696000022837150,800-3220,1,19300
4198696000022785397,800-3216,5,169384
4198696000022785187,800-3214,1,30600
4198696000022764003,800-3210,1,24300
4198696000022650179,800-3207,1,11350
4198696000022646506,800-3204,4,23552
4198696000022646350,14-2001,4,8741.15
4198696000022597879,800-3198,1,36500
4198696000022597024,509-0249,6,82743.36
4198696000022588797,800-3191,2,285742
4198696000022544766,800-3183,2,36600
4198696000022506519,800-3179,2,40584.07
4198696000022460097,800-3169,1,20700
4198696000022453598,800-3174,1,8600
4198696000022453003,800-3170,1,25944
4198696000022426060,800-3165,1,3300
4198696000022376076,800-3161,2,38000
4198696000022307190,800-3157,2,70000
4198696000022303130,800-3154,1,7600
4198696000022301066,800-3150,5,120760
4198696000022280812,130-093,5,36637.17
4198696000022280480,800-3146,1,18800
4198696000022245121,800-3144,1,5100
4198696000022204423,72-5008,9,60739.08
4198696000022194497,800-3139,2,25000
4198696000022154695,528-0116,2,21800
4198696000022148550,800-3128,2,17000
4198696000022128246,800-3126,4,106832
4198696000022082663,800-3123,1,9630
4198696000022082149,800-3120,1,25000
4198696000021997178,800-3116,3,12496
4198696000021997091,800-3115,4,461500
4198696000021925003,900-010,10,0.01
4198696000021891855,800-3114,1,16340
4198696000021891475,800-3112,2,154560
4198696000021891018,800-3107,8,41600
4198696000021866176,800-3101,2,42872
4198696000021831651,800-3099,1,22500
