Creditnotes refund ID,Refund Date,Account ID,Amount (BCY),Created Time,Last Modified Time
4198696000013368598,22 Nov 2024,4198696000000375167,"CRC 7,500.00",2024-12-05 16:22:34,2024-12-05 16:22:34
4198696000013405519,05 Dec 2024,4198696000000418009,"CRC 2,200.00",2024-12-05 17:40:16,2024-12-05 17:40:16
4198696000013405545,05 Dec 2024,4198696000000418009,"CRC 1,000.00",2024-12-05 17:40:39,2024-12-05 17:40:39
4198696000013486287,06 Dec 2024,4198696000000418009,CRC 276.00,2024-12-06 14:01:57,2024-12-06 14:01:57
4198696000013486819,06 Dec 2024,4198696000000418009,"CRC 23,552.00",2024-12-06 14:36:24,2024-12-06 14:36:24
4198696000013569003,07 Dec 2024,4198696000000418009,"CRC 3,200.00",2024-12-09 09:16:58,2024-12-09 09:16:58
4198696000013693109,10 Dec 2024,4198696000000375167,"CRC 16,000.00",2024-12-10 16:21:09,2024-12-10 16:21:09
4198696000013931616,12 Dec 2024,4198696000000418009,CRC 276.00,2024-12-12 15:30:44,2024-12-12 15:30:44
4198696000014008049,12 Dec 2024,4198696000000375167,"CRC 1,500.00",2024-12-13 09:28:40,2024-12-13 09:28:40
4198696000014008071,12 Dec 2024,4198696000000375167,"CRC 21,300.00",2024-12-13 09:28:58,2024-12-13 09:28:58
4198696000014069149,13 Dec 2024,4198696000000418009,"CRC 3,300.00",2024-12-13 14:29:51,2024-12-13 14:29:51
4198696000014069471,13 Dec 2024,4198696000000375167,"CRC 35,500.00",2024-12-13 16:58:35,2024-12-13 16:58:35
4198696000014105285,14 Dec 2024,4198696000000418009,"CRC 19,136.00",2024-12-14 10:11:37,2024-12-14 10:11:37
4198696000014105715,14 Dec 2024,4198696000000418009,"CRC 27,850.00",2024-12-14 12:11:57,2024-12-14 12:11:57
4198696000014236190,17 Dec 2024,4198696000000375167,"CRC 63,000.00",2024-12-17 14:45:22,2024-12-17 14:45:22
4198696000014243362,17 Dec 2024,4198696000000375167,"CRC 48,000.00",2024-12-17 17:49:00,2024-12-17 17:49:00
4198696000014313041,18 Dec 2024,4198696000000418009,"CRC 39,100.00",2024-12-18 13:19:05,2024-12-18 13:19:05
4198696000014348384,19 Dec 2024,4198696000000418009,"CRC 13,500.00",2024-12-19 09:48:38,2024-12-19 09:48:38
4198696000014508939,21 Dec 2024,4198696000000418009,"CRC 22,400.00",2024-12-21 10:31:42,2024-12-21 10:31:42
4198696000014508979,21 Dec 2024,4198696000000418009,CRC 400.00,2024-12-21 10:32:56,2024-12-21 10:32:56
4198696000014521759,21 Dec 2024,4198696000000418009,"CRC 1,472.00",2024-12-21 12:07:12,2024-12-21 12:07:12
4198696000014521961,23 Dec 2024,4198696000000375167,CRC 10.00,2024-12-23 09:06:31,2024-12-23 09:06:31
4198696000014525623,23 Dec 2024,4198696000000418009,"CRC 2,200.00",2024-12-23 12:41:25,2024-12-23 12:41:25
4198696000014535343,23 Dec 2024,4198696000000418009,"CRC 6,200.00",2024-12-23 15:19:31,2024-12-23 15:19:31
