Item Name,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
Cremallera de Dirección Nissan Sentra B14,2,2.00,"274,380.96","CRC 95,699.86","$178,681.10"
KIT CLUTCH GEELY GC6 1.5CC GX3 190MM,11,11.00,"683,362.79","CRC 504,903.63","$178,459.16"
TAMBOR FRENO MITSUBISHI L200 SPORTERO 06- MONTERO SPORT 09-,16,16.00,"580,446.01","CRC 403,172.80","$177,273.21"
Radiador  Honda CR-V 1 GENERACION,6,6.00,"289,778.74","CRC 115,236.00","$174,542.74"
Radiador Toyota Hiace 2014-2019 (5L) 26MT,5,5.00,"310,796.46","CRC 136,992.96","$173,803.50"
Kit Rol De Bocina Trasero Hyundai Accent 1999-2004 G4EK,21,21.00,"271,805.27","CRC 98,983.50","$172,821.77"
CLUTCH KIT TOYOTA COROLLA TERCEL 4AF 7AF 1ZZ 2ZZ 3E 5E YARIS (2)TODOS,14,14.00,"861,192.92","CRC 690,060.28","$171,132.64"
Cobertor de Abanico Hyundai Accent Blue 2016,9,9.00,"272,884.95","CRC 102,217.50","$170,667.45"
BOCINA DEL NISSAN FRONTIER NP300 14-- 4X2 C/ABS 9400398,10,10.00,"587,610.62","CRC 417,191.94","$170,418.68"
Radiador Kia Picanto 1000 cc,8,8.00,"271,242.49","CRC 101,288.00","$169,954.49"
KIT BOCINA DELANTERO CON SENSOR ABS NISSAN NAVARA/ PATHFINDER 4X4 2005  ALTURA TOTAL 105MM 30x139.8x89,6,6.00,"253,239.32","CRC 83,655.00","$169,584.32"
DISCO FRENO HY DELANTERO GRAND i10 08- KIA PICANTO 04-,42,42.00,"680,722.19","CRC 512,006.52","$168,715.67"
Farol Delantero RH Kia Picanto 1000 cc,6,6.00,"244,645.69","CRC 76,065.00","$168,580.69"
KIT CLUTCH MAZDA 3.1,8,8.00,"678,920.35","CRC 510,915.36","$168,004.99"
AMORTIGUADOR DEL RH/LH MIT MIRAGE G4 12- (4060A382),20,20.00,"637,748.66","CRC 470,000.00","$167,748.66"
CHEVRON HAVOLINE GLOBAL MV ATF CUARTO,118,118.00,"735,258.24","CRC 568,116.15","$167,142.09"
Alternador 12V 90A Honda Civic VIII IX 1.6 1.8 2005-2016 FRV 1.8 2007-,4,4.00,"286,725.68","CRC 121,317.36","$165,408.32"
Farol Delantero LH Yaris/Vios NSP151L-AEXRK,5,5.00,"279,823.00","CRC 114,620.00","$165,203.00"
CLUTCH KIT NISSAN JUKE 1.6 12-17 SENTRA B17(4) QASHQAI MR20 XTRAIL,1,1.00,"628,318.58","CRC 464,734.74","$163,583.84"
KIT CLUTCH BIMASA NISSAN JUKE B17 1.6CC 2012-2017,1,1.00,"628,318.58","CRC 464,734.74","$163,583.84"
CABEZOTE COMPLETO TOYOTA  HILUX HIACE 1Y 2Y 3Y 4Y .,3,3.00,"413,141.60","CRC 249,781.00","$163,360.60"
DISCO FRENO TOYOTA DELANTERO YARIS 06-13,30,30.00,"645,012.27","CRC 481,969.80","$163,042.47"
BOBINA DE IGNICIÓN HYUNDAI ELANTRA-TUCSON (11-) / KIA SOUL-FORTE  UF-651,31,31.00,"689,504.44","CRC 527,000.00","$162,504.44"
Cremallera de Dirección sin Rotulas TOYOTA YARIS ECHO  99-05,3,3.00,"335,398.23","CRC 172,943.70","$162,454.53"
Alternador 12 90A Honda CRV III 2.0 2001-2007 FRV 2.4 2005- Stream 2.0 2001-2006,3,3.00,"286,725.66","CRC 126,406.53","$160,319.13"
TIJERETA INFERIOR RH NISSAN TIDA TIIDA/ LIVINA 2005-2012 .,18,18.00,"262,345.11","CRC 102,114.24","$160,230.87"
FIBRA DE FRENO DELANTERA HORIZON TOYOTA FORTUNER 2006- PRADO VX 2003-  HILUX VIGO 2006-  MITSUBISHI PAJERO 2016- 3.2,19,7.00,"179,056.67","CRC 19,442.50","$159,614.17"
Farol Delantero LH Kia Picanto 1000 cc,6,6.00,"235,398.52","CRC 76,065.00","$159,333.52"
Farol Delantero LH Hyundai Tucson 2010-2015 G4KD,5,5.00,"229,734.52","CRC 72,050.00","$157,684.52"
KIT CLUTH - HY G4LA  GRAND I10 1.2 4 CIL.,10,10.00,"694,668.14","CRC 538,361.22","$156,306.92"
TURBO HY SANTA FE D4EB 2.2 VGT,1,1.00,"420,353.98","CRC 265,442.48","$154,911.50"
CHEVRON GEAR OIL EP-4 75W90 CUARTO,213,212.00,"873,093.06","CRC 718,932.28","$154,160.78"
Tijereta Superior LH Nissan Sentra B13,15,15.00,"250,845.12","CRC 98,175.00","$152,670.12"
ROL BOCINA DELANTERO HYUNDAI ELANTRA 95-00 AVANTE ACCENT 00-15 VERNA BLUE,44,43.00,"492,098.23","CRC 340,632.72","$151,465.51"
TIJERETA INFERIOR RH TOYOTA  YARIS VITZ/ VIOS 1999-2002 IMPORTADO,12,12.00,"234,929.20","CRC 84,323.20","$150,606.00"
AMORTIGUADOR.Hy Accent Blue 11-18/Kia Rio 11-14/Cerato 10-/Elantra 11-14/ Forte Tras R/L MUT (554385)(554384) Gas B/B,29,29.00,"587,762.81","CRC 438,550.00","$149,212.81"
BOBINA DE IGNICIÓN HYUNDAI  ACCENT/KIA RIO (05-)UF-499,25,25.00,"574,070.81","CRC 425,000.00","$149,070.81"
AMORTIGUADOR.Hy Accent Blue 11-18/Kia Rio 12-14 Del RH MUT G (338106),17,17.00,"494,844.27","CRC 346,175.00","$148,669.27"
SENSOR OXÍGENO HYUNDAI ACCENT VERNA COREANO 5L,10,10.00,"598,587.61","CRC 450,000.00","$148,587.61"
Radiador Toyota Yaris 2006-2013 26MT,7,7.00,"250,769.92","CRC 102,579.61","$148,190.31"
SENSOR DE OXÍGENO TOYOTA YARIS-ECHO  234-4061 234-4069 13056 234-4622 89465-52060 234-4804 //234-4624 / 250-24360,21,21.00,"567,630.14","CRC 420,000.00","$147,630.14"
Tijereta Inferior LH Hyundai Accent 1999-2004 G4EK,15,15.00,"245,286.69","CRC 98,175.00","$147,111.69"
AMORTIGUADOR  NISSAN TIIDA 06-18 DEL LH,11,11.00,"386,676.41","CRC 241,070.00","$145,606.41"
AMORTIGUADOR  NISSAN TIIDA 06-18DEL RH,11,11.00,"386,676.41","CRC 241,070.00","$145,606.41"
PASTILLA FRENO CERAMICA TOYOTA YARIS 06- GREET WALL C30 SEDAN TAX,31,31.00,"460,908.32","CRC 315,469.03","$145,439.29"
ADITIVO ACEITE ALTO AL HUMO,43,9.00,"191,238.81","CRC 46,500.00","$144,738.81"
CLUTCH KIT NISSAN SENTRA B12 E16 B13/B14 GA16 (3) C/SEGURO,15,15.00,"675,777.92","CRC 531,604.80","$144,173.12"
Bobina de Encendido TOYOTA YARIS ECHO  99-05,27,27.00,"260,734.00","CRC 116,872.00","$143,862.00"
AMORTIGUADOR.MIT Mirage G4 12-21 Tras (Chasís A03A) R/L (4162A256) P/B,26,26.00,"545,670.77","CRC 403,000.00","$142,670.77"
