SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_Used,Avg_Demand_6M,Outstanding_Qty,Last_Purchase_Date,Last_Purchase_Price,On_Hand_Qty,On_Hand_Source,Coverage_Months,On_Hand_Value_LastCost,Reorder_Eligibility,Reorder_Flag,Stock_Shortfall,Months_Short
,4198696000013373639,1,44046.02,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000008632176,1,16283.19,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000017180205,1,14690.27,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000017782177,1,18318.58,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000005596050,0.1,1637.17,0.1,,,,,,,,,ELIGIBLE,1,0.1,1
,4198696000006457420,1,5840.71,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014135169,1,1327.43,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000010547378,1,28318.58,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000003661043,1,18407.08,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019836828,1,10665.49,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000020607896,3,7831.86,3,,,,,,,,,ELIGIBLE,1,3,1
,4198696000002951153,1,7699.12,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000009656006,1,20884.96,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018833707,1,18318.58,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000033576402,1,15929.2,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015366004,1,27079.65,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000027913680,2,29203.54,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000005096047,1,1150.44,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000022821194,1,0,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028911213,1,4477.88,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000007082731,1,29646.02,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000012568047,1,8495.58,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019924028,1,118584.07,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014847937,1,442.48,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025900528,1,3451.33,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000032017648,1,353.98,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015215405,1,9769.91,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011863136,1,2477.88,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011834914,1,40530.97,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000033523826,2,32496,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000008123184,1,1946.9,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000020715145,1,8318.58,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000009956514,1,15929.2,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000029067549,1,1238.94,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000016833244,1,7699.12,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024294124,1,21168.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028788989,2,8792.92,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000031082198,2,86725.66,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000025829084,1,23008.85,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011207261,2,7610.62,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000026057240,1,4640.71,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011236158,1,35575.22,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015693660,4,2831.86,4,,,,,,,,,ELIGIBLE,1,4,1
,4198696000026028533,1,4070.8,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000007870105,1,2831.86,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000026463486,2,13026.55,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000028881304,1,530.97,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000031402147,2,32566.37,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000019867807,1,3539.82,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025241655,1,72566.37,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024922152,1,13274.34,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000026746028,1,37168.14,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000021121010,3.1,883.36,3.1,,,,,,,,,ELIGIBLE,1,3.1,1
,4198696000006242013,1,5575.22,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000005171084,1,2389.38,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024813008,1,17079.65,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000009486304,2,6017.7,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000005531059,1,37433.63,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000006634515,2,8141.59,2,,,,,,,,,ELIGIBLE,1,2,1
