b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000001046550,5,3,2
4198696000007812335,200,11,189
4198696000018668034,30,7,23
4198696000015465354,30,8,22
4198696000001612511,2,1,1
4198696000029995212,1,1,0
4198696000030181800,1,1,0
4198696000030215472,1,1,0
4198696000030232083,8,8,0
4198696000016933191,3,2,1
4198696000015465021,30,1,29
4198696000031177264,2,2,0
4198696000031250220,1,1,0
4198696000031526138,2,2,0
4198696000031526702,1,1,0
4198696000000136540,26,7,19
4198696000001041121,84,9,75
4198696000027395677,2,1,1
4198696000004629596,100,1,99
4198696000032248783,1,1,0
4198696000031243557,16,12,4
4198696000032257868,1,1,0
4198696000011482675,6,2,4
4198696000000670650,2,2,0
4198696000012410081,8,5,3
4198696000033522968,2,2,0
4198696000000865675,4,2,2
4198696000004629677,100,1,99
4198696000033370579,1,1,0
4198696000034110408,1,1,0
4198696000034110538,1,1,0
4198696000033573798,1,1,0
4198696000000139681,200,2,198
4198696000000844237,13,6,7
4198696000000863110,4,2,2
4198696000000865936,4,3,1
4198696000000863200,10,4,6
4198696000000863551,7,2,5
4198696000000861796,12,5,7
4198696000000897936,1,1,0
4198696000001611494,5,1,4
4198696000003396271,7,3,4
4198696000004546228,2,2,0
4198696000004715030,2,2,0
4198696000004777137,2,2,0
4198696000004970256,2,2,0
4198696000005279186,2,2,0
4198696000008788218,4,2,2
4198696000011856130,1,1,0
4198696000012595506,3,2,1
4198696000015145691,4,3,1
4198696000018053916,2,2,0
4198696000020459897,2,2,0
4198696000026530384,4,4,0
4198696000029058217,2,2,0
4198696000032248284,1,1,0
4198696000000679240,12,1,11
4198696000001611845,9,5,4
4198696000012225107,4,2,2
4198696000006129384,1,1,0
4198696000007892600,5,1,4
4198696000009033383,8,7,1
4198696000009452783,3,3,0
4198696000011255728,4,2,2
4198696000019129403,2,2,0
4198696000019394200,1,1,0
4198696000004421439,51,51,0
4198696000015465201,30,5,25
4198696000000679564,12,9,3
4198696000004417871,101,17,84
4198696000000139168,132,30,102
4198696000000899655,12,4,8
4198696000001089163,123,47,76
4198696000000137521,51,11,40
4198696000000679681,15,9,6
4198696000000865387,8,4,4
4198696000000677026,50,6,44
4198696000000142201,22,12,10
4198696000000141139,36,1,35
4198696000000140626,10,2,8
4198696000000137053,6,1,5
4198696000000602356,44,33,11
4198696000000670794,8,6,2
4198696000000676963,15.83,0.83,15
4198696000000676981,21.3,0.3,21
4198696000000863875,12,6,6
4198696000000897891,2,1,1
4198696000000898143,2,1,1
4198696000001408181,4,3,1
4198696000001614761,8,4,4
4198696000001610072,28,17,11
4198696000001878229,2,2,0
4198696000002574049,15,10,5
4198696000003454200,2,2,0
4198696000003679286,8,6,2
4198696000004882224,1,1,0
4198696000005033001,1,1,0
4198696000005387593,9,9,0
4198696000006604038,3,3,0
4198696000006753234,1,1,0
4198696000006777849,2,2,0
4198696000007418428,2,2,0
4198696000007681347,1,1,0
4198696000007812281,201,2,199
4198696000009895807,3,3,0
4198696000012103725,13,8,5
4198696000014709952,1,1,0
4198696000015715246,34,25,9
4198696000017003839,1,1,0
4198696000017482124,15,12,3
4198696000019870041,3,3,0
4198696000025832786,1,1,0
4198696000004417853,50,1,49
4198696000032479696,1,1,0
4198696000004421430,151,151,0
4198696000000141373,36,,36
4198696000000141544,40,,40
4198696000000140608,10,,10
4198696000000137422,50,,50
4198696000000138664,5,,5
4198696000000137782,50,,50
4198696000000137701,50,,50
4198696000000137827,50,,50
4198696000000140113,10,,10
4198696000000137341,6,,6
4198696000000142471,100,,100
4198696000000142642,20,,20
4198696000000142696,20,,20
4198696000000144037,20,,20
4198696000000144100,20,,20
4198696000000144181,20,,20
4198696000000139357,50,,50
4198696000000143623,10,,10
4198696000000136450,60,,60
4198696000000670128,1,,1
4198696000000669786,1,,1
4198696000000677377,2,,2
4198696000000678142,4,,4
4198696000000677458,2,,2
4198696000000676774,12,,12
4198696000000678835,5,,5
4198696000000678583,2,,2
4198696000000860842,3,,3
4198696000000864262,3,,3
4198696000000866287,2,,2
4198696000000865630,3,,3
4198696000000864532,4,,4
4198696000000864721,1,,1
4198696000000864901,4,,4
4198696000000865072,2,,2
4198696000000898953,5,,5
4198696000000898764,4,,4
4198696000000898728,5,,5
4198696000000897333,2,,2
4198696000000898341,1,,1
4198696000000898377,2,,2
4198696000000898404,1,,1
4198696000001046334,4,,4
4198696000001046433,5,,5
4198696000001046487,3,,3
4198696000001039951,6,,6
