Item Name,Quantity,Sales Value,Avg Price
AM MIT MONTERO JUNIOR 99-DEL,4.00,"170,831.85","85,415.92"
AM NI NAVARA 07-14 DEL D40/YD25 R/L GAS NP300,5.00,"113,458.41","37,819.47"
AM SUZ AERIO 01-08 TRAS RH G,2.00,"64,736.28","32,368.14"
AM TY RAV4 06 TRAS R/L G,9.00,"213,877.89","42,775.58"
AM.HD CRV 07-10 DEL LH G,2.00,"78,862.83","39,431.42"
AM.HY SANTA FE 06-09/ SORENTO 10-13/ VERACRUZ 07-12/ TRAS/ GAS,6.00,"143,553.99","35,888.50"
AMARTIGUADOR TRASERO TERRACAN 2001,2.00,"40,530.97","40,530.97"
AMOR.HD CRV07-10 DEL RH G,3.00,"119,305.31","39,768.44"
AMOR.HD CRV07-11 TRAS R/L G,2.00,"43,185.84","43,185.84"
AMORT DEL DER CH TRAX/CRUZEB 1.8 13-(GAS),1.00,"47,787.61","47,787.61"
AMORT DEL LH GEELY GX3 POWER HMD,1.00,"46,238.94","46,238.94"
AMORT DEL LH KIA RIO SC/ ACCENT 17- (ZX202051132QL),1.00,"61,061.95","61,061.95"
AMORT DEL LH NIS B17 13- (MSS020250)(E4303-3SH1C)(339328) (E43033SH0C),1.00,"43,185.84","43,185.84"
AMORT DEL LH NIS KICKS 17/,2.00,"115,044.24","57,522.12"
AMORT DEL LH NIS MARCH K13 12,2.00,"115,044.24","57,522.12"
AMORT DEL LH NIS QASHQAI 13/18* (E43034EA3A),2.00,"74,867.26","37,433.63"
AMORT DEL LH SUZ CELERIO 14-20 SUZ ALTO 09-15 (K10B) C/ROT EST // Plato,4.00,"111,801.76","27,950.44"
AMORT DEL LH TOY COROLLA 14/ (TODO ROSCA),1.00,"55,752.21","55,752.21"
AMORT DEL MIT MONT/ GALLOPER /PORTER -95/RAIDER 87-91/TACOMA 95-04 (444068)(2066) P/C (Zinger con muestra). Con coberto,4.00,"59,815.54","29,907.77"
AMORT DEL MIT MONT/ GALLOPER /PORTER -95/RAIDER 87-91/TACOMA 95-04 (444068)(2066) P/C (Zinger con muestra). Con cobertor,2.00,"26,867.26","26,867.26"
AMORT DEL RH KIA RIO SC/ ACCENT 17- (ZX202051132QR),1.00,"61,061.95","61,061.95"
AMORT DEL RH NIS B17 13- (MSS020249),1.00,"43,185.84","43,185.84"
AMORT DEL RH NIS KICKS 17/,2.00,"115,044.24","57,522.12"
AMORT DEL RH NIS MARCH K13 12,2.00,"115,044.24","57,522.12"
AMORT DEL RH NIS QASHQAI 13/18 (E43024EA3A),2.00,"74,867.26","37,433.63"
AMORT DEL RH SUZ CELERIO 14-20 SUZ ALTO 09-15 (K10B) C/ROT EST // Plato,5.00,"140,916.80","28,183.36"
AMORT DEL RH TOY COROLLA 14/ (TODO ROSCA),1.00,"55,752.21","55,752.21"
AMORT DEL RH/LH SSANG REXTON,2.00,"69,203.54","69,203.54"
AMORT DEL SUZ CIAZ 2015- LH JINBO,1.00,"38,753.98","38,753.98"
AMORT DEL SUZ CIAZ 2015- RH JINBO,1.00,"38,753.98","38,753.98"
AMORT DEL TROOPER/MONTERO SPORT/D21/KB4X4/D22/HIACE/KB/X-TERRA99-04,2.00,"50,796.46","50,796.46"
AMORT HY ELANTRA 96-00 AVANTE/TOURINS/TIBURON 96-01 TRAS G R/L,4.00,"103,008.86","34,336.29"
AMORT HY TERRACAN 01-08 DEL,2.00,"44,778.76","44,778.76"
AMORT HY TERRACAN 01-08 TRAS,4.00,"105,628.32","52,814.16"
AMORT HYUNDAI ACCENT 18+/KIA RIO TRAS SC 17-,2.00,"69,026.55","69,026.55"
AMORT ISU DEL D-MAX 2013-2018(+) RH/ LH (8-97947-098-3) 4X4 (Colorado) G.,8.00,"193,826.54","48,456.64"
AMORT NISSAN KICKS 17- TRA R/L,2.00,"74,513.27","74,513.27"
AMORT SUZ SWIFT 05-10 DEL LH G,3.00,"90,520.36","30,173.45"
AMORT SUZ SWIFT 05-10 DEL RH G,3.00,"90,520.36","30,173.45"
AMORT SUZUKI AERIO 05-08 DEL LH C/ROT G *(BALENO/STEEM 95-02 DEL),3.00,"103,197.35","34,399.12"
AMORT SUZUKI AERIO 05-08 DEL RH C/ROT G *(BALENO/STEEM 95-02 DEL),3.00,"103,197.35","34,399.12"
AMORT TRAS SUZ SWIFT DZIRE 2012-2017 ERTIGA 15-19 / CIAZ- G. (343420) (41800- M74L00) Bushing 16mm MUTIKO LARGO,14.00,"396,460.18","49,557.52"
AMORT. KIA RIO 00-06 TRAS GAS 343424 343353 C/B,2.00,"57,699.12","57,699.12"
"AMORT. TY YARIS 18-21 // MAZ ""2"" 10- DEL RH G.",1.00,"25,407.08","25,407.08"
AMORT.HY ACCENT 97-05 TRAS R/L G,6.00,"149,238.94","37,309.74"
AMORTIGUADOR  NISSAN TIIDA 06-18 DEL LH,11.00,"386,676.41","35,152.40"
AMORTIGUADOR  NISSAN TIIDA 06-18DEL RH,11.00,"386,676.41","35,152.40"
AMORTIGUADOR (2113)H-100 Grace-03 D21 KB 4X4 Montero Sport 97-08 Del Gas AB.38.5 Y CERR 24.5 CMS (444217- 6961-344346-443188)P/O Terracan 01-03/ Rodeo / Terracan,22.00,"335,681.42","30,516.49"
AMORTIGUADOR 323/ Protege 90-94 Del LH A Escort 91-96 A.,1.00,"38,849.56","38,849.56"
AMORTIGUADOR Chev Spark 12-15 Del LH / (Con estabilizadora-y oreja para freno de lado) Chev Beat + (M300),1.00,"36,637.17","36,637.17"
AMORTIGUADOR Chev Spark 12-15 Del RH G (Con estabilizadora- y oreja para freno de lado) Chev Beat+ (M300),2.00,"69,610.62","34,805.31"
