Item ID,Product ID,Item Name,Quantity,Sub Total (BCY),Total (BCY),Sales order ID,Project ID,Last Modified Time,Created Time
4198696000001487053,4198696000001481311,ROTULA DIRECCION EXTERNA RH HYU TUCSON/SPORTAGE 04-10 SEK8041R,1.00,"CRC 7,433.63","CRC 7,061.95",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001487049,4198696000001481320,ROTULA CREMAYERA HYUNDAI TUCSON 05-08 16X16X260 SRK8040,2.00,"CRC 9,557.52","CRC 9,557.52",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000032152426,4198696000001611917,ROL BOCINA DELANTERO HYUNDAI ELANTRA 95-00 AVANTE ACCENT 00-15 VERNA BLUE,2.00,"CRC 25,486.73","CRC 25,486.73",4198696000032152413,,2025-10-29 13:42:00,2025-10-13 11:42:38
4198696000019374008,4198696000003315438,UF-591 BOBINA NISSAN VERSA TIIDA,1.00,"CRC 21,168.14","CRC 21,168.14",4198696000019374003,,2025-03-10 10:04:26,2025-03-10 10:04:26
4198696000019374012,4198696000003594538,FILTRO ACEITE NISSAN INFINITY TOYOTA DAIHATSU,1.00,"CRC 2,116.81","CRC 2,116.81",4198696000019374003,,2025-03-10 10:04:26,2025-03-10 10:04:26
4198696000019374010,4198696000004126897,NGK PLZKAR6A-11 BUJIA CON RESISTENCIA PLATINO TIPO PROYECTADO GBRADO 6 ROSCA 16MM,4.00,"CRC 42,010.62","CRC 42,010.62",4198696000019374003,,2025-03-10 10:04:26,2025-03-10 10:04:26
4198696000012035244,4198696000004417826,Tijereta Inferior LH Toyota Hilux 2016/Current GUN125L-DGFXHF,1.00,"CRC 39,646.02","CRC 39,646.02",4198696000012035237,,2024-11-26 14:54:00,2024-11-11 11:30:54
4198696000012035246,4198696000004417844,Tijereta Inferior RH Toyota Hilux 2016/Current GUN125L-DGFXHF,1.00,"CRC 39,646.02","CRC 39,646.02",4198696000012035237,,2024-11-26 14:54:00,2024-11-11 11:30:54
4198696000032152422,4198696000004902005,ACEITE ATF SUPER MINERAL MP,1.00,"CRC 4,867.26","CRC 4,867.26",4198696000032152413,,2025-10-29 13:42:00,2025-10-13 11:42:38
4198696000019137143,4198696000006632032,"ROT. ESTAB. DEL. LH. TOY. HILUX VIGO. 04/ 4X4, FORTUNER, PRADO. 03/10 TACOMA. 06 UNID",1.00,"CRC 7,345.13","CRC 7,345.13",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137141,4198696000006632049,"ROT. ESTAB. DEL. RH. TOY. HILUX VIGO. 05/18, 4X4, FORTUNER, PRADO, 02/13, 4RUNNER. UNID",1.00,"CRC 7,345.13","CRC 7,345.13",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137145,4198696000008899721,ROTULA DIRECCION EXTERNA RH LH TOYOTA HILUX VIGO 15/20 4X2 4X4 FORTUNER 07 4X4 SE-A121 SE-3891 45046-09310,1.00,"CRC 6,106.19","CRC 6,106.19",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137137,4198696000008899730,"ROT. SUSP. SUP. RH/LH. TOY. HILUX VIGO. FORTUNER.04/12, 4X2, 4X4, TACOMA, 4X2, 06 SB-3881, 44MM",2.00,"CRC 12,743.36","CRC 12,743.36",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137139,4198696000008899773,"ROT. SUSP. INF. RH/LH. TOY.HILUX VIGO, FORTUNER. 05/21, TACOMA. 4X2 , 04/19, SB-3882 = 43330-09510",2.00,"CRC 16,283.19","CRC 16,283.19",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000031143529,4198696000010805456,Rotula de Dirección Toyota Soluna Starlet Vios Vitz Yaris,2.00,"CRC 19,469.03","CRC 19,469.03",4198696000031143518,,2025-10-29 13:42:12,2025-09-25 10:13:26
4198696000031143533,4198696000010805520,Tornillo de Estabilizadora Delantera Toyota Yaris 99-05 BYD F0,2.00,"CRC 4,424.78","CRC 4,424.78",4198696000031143518,,2025-10-29 13:42:12,2025-09-25 10:13:26
4198696000011464063,4198696000011493002,Sop-Comp-Del-Toyota-Rav4-06-18-Con- Guia,1.00,"CRC 12,831.86","CRC 12,831.86",4198696000011464056,,2024-11-26 14:54:00,2024-10-29 17:30:47
4198696000011464061,4198696000011493011,Rol-Sop-Comp-Del-Toyota-Rav4-06-18,1.00,"CRC 10,619.47","CRC 10,619.47",4198696000011464056,,2024-11-26 14:54:00,2024-10-29 17:30:47
4198696000032152420,4198696000011516358,NGK BKR5E-11 BUJIA PROYECT.CON RESISTENCIA 14X19 MM 16 MM,4.00,"CRC 11,327.43","CRC 11,327.43",4198696000032152413,,2025-10-29 13:42:00,2025-10-13 11:42:38
4198696000012035242,4198696000012033274,Hule-Est-Toyota-Hilux-Revo-4X4-14-18 M- 31X54X48,2.00,"CRC 3,913.27","CRC 3,913.27",4198696000012035237,,2024-11-26 14:54:00,2024-11-11 11:30:54
4198696000032152430,4198696000012152994,BOTA EJE 23X86X109,2.00,"CRC 4,601.77","CRC 4,601.77",4198696000032152413,,2025-10-29 13:42:00,2025-10-13 11:42:38
4198696000019374016,4198696000012371046,Hule-Est-Del-Hyundai-Terracan-01-07-Montero (Cachetona)00-20-M-30X42X46,2.00,"CRC 3,419.47","CRC 3,419.47",4198696000019374003,,2025-03-10 10:04:26,2025-03-10 10:04:26
4198696000031143535,4198696000012410637,Hule-Est-Del-Toyota-Yaris-Echo-00-05 M-25X35X40,2.00,"CRC 1,769.91","CRC 1,769.91",4198696000031143518,,2025-10-29 13:42:12,2025-09-25 10:13:26
4198696000023984309,4198696000013406194,KIT CLUTCH GEELY GC6 1.5cc GX3 190MM,1.00,"CRC 62,123.89","CRC 62,123.89",4198696000023984302,,2025-06-02 16:52:11,2025-06-02 16:52:11
4198696000019137135,4198696000016620790,Am TY HILUX VIGO 05-14 4X4 Fortuner/Prado/FJ Cruiser Del R/L G 340085,2.00,"CRC 62,123.89","CRC 62,123.89",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137155,4198696000019129041,BUS TIJ DEL INF TOY HILUX VIGO,1.00,"CRC 6,725.66","CRC 6,725.66",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137157,4198696000019129050,BUS TIJ DEL INF TOY HILUX,1.00,"CRC 6,106.19","CRC 6,106.19",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137159,4198696000019129059,BUS TIJ DEL SUP TOY HILUX,4.00,"CRC 30,088.50","CRC 30,088.50",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137149,4198696000019132001,BUS RES TRAS / MOD,2.00,"CRC 5,486.73","CRC 5,486.73",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137151,4198696000019132010,HUL BAL TRAS,4.00,"CRC 4,601.77","CRC 4,601.77",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000019137153,4198696000019132019,HUL BAL TRAS MOD,4.00,"CRC 4,247.79","CRC 4,247.79",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
