Item Name,Count,Amount,Invoice Overdue Count,Invoice Overdue Amount
18117-797D1 5136800-2330 SUZUKI CELERIO 1.0L,1,"CRC 39,000.00",0.00,0.00
18855-10080 BUIJIAS IRIDIUN LARGA HYUNDAI BLUE CERATO I10 ACCORD PILOT 08+,1,"CRC 146,200.04",0.00,0.00
18X32X38X13 RET KOSS SELECTOR MARCHA B13,1,"CRC 4,900.00",0.00,0.00
1C232-19700 MODULO ABANICOS MITSUBSHI,1,"CRC 45,800.00",0.00,0.00
2006-2015 SANTA FE,1,"CRC 33,050.00",0.00,0.00
2092022N10 SET DESCARBONADO ACCENT 12V 94- G4N 20,1,"CRC 284,100.00",0.00,0.00
22224-27900 SELLO DE VALVULA TUCSON D4EA SA,1,"CRC 33,400.00",0.00,0.00
22224-2B001 SELLO DE VALVULA ACCENT BLUE CR,1,"CRC 12,800.00",0.00,0.00
2231127022 EMPAQUE CABEZOTE 22311-27020 223,1,"CRC 33,400.00",0.00,0.00
22441-22012 EMP TP VLV ACCENT 12V,2,"CRC 44,620.00",0.00,0.00
22448-1HC0A 22448-ED000 UF-550 UF-549 UF-719 VERSA SENTRA 07- QASHQAI 22448-1KT1A KICKS 22448-5RB0A,1,"CRC 24,100.00",0.00,0.00
22448-1KC0A BOBINA DE IGNISION PARA NISSAN L4 1.4L UF-702,1,"CRC 26,000.00",0.00,0.00
22448-6N015 UF-509 UF-350 UF-351 BOBINA NISSAN XTRAIL B15 ALMERA 22448-8H300,14,"CRC 1,134,891.32",0.00,0.00
"22690-88G01 250-23503 234-3307 3L PATHFINDER D21 3,0 TRACERO TITANIO",1,"CRC 46,000.00",0.00,0.00
"226905E400 234-3075 234-3075250-23109 3L XTERRA FRONTIER 3,3L -3L LARGO",2,"CRC 289,000.00",0.00,0.00
22693-EA000 234-5061 234-5003 234-5060 NISSAN MURANO PATHFINDER 250-25005,1,"CRC 62,000.00",0.00,0.00
234-2058 96-99 CELICA RAV4 FLANGER,1,"CRC 32,350.00",0.00,0.00
234-4048 24566 250-24137 234-4048,2,"CRC 159,050.00",0.00,0.00
234-4065 250-24099 -234-4123 234-4011 36531-P06-A11 234-4099 SENSOR OXIGENO CIVIC 92/2000 36531-P3F-,1,"CRC 31,600.00",0.00,0.00
234-4094 234-4125 36532-PPA-A01 15410 HONDA CRV TRACERO 2.4L 02-04 S2B1,1,"CRC 39,376.00",0.00,0.00
234-4154 234-4161/// 234-4162 4RUNNER TUNDRA,2,"CRC 65,900.00",0.00,0.00
234-4215 234-4205 250-24154 FLANGER GRANDE 234-4153 8946519675 COROLLA 1ZZ-FE 97,2,"CRC 76,400.00",0.00,0.00
234-4220 234-4733 234-4620 234-4621 234-4352 234-4122 250-24429 HONDA CIVIC D17A,2,"CRC 80,000.00",0.00,0.00
234-4305 80CM SENSOR DE OXIGENO,1,"CRC 38,200.00",0.00,0.00
"234-4329 234-4392 234-4390 S1 MAZDA 3 6 1,6L NACIONAL GRIS",1,"CRC 45,800.00",0.00,0.00
234-4350 S2 CIVIC 06-15,1,"CRC 32,350.00",0.00,0.00
234-4527 234-4528 25653 SONIC CRUCE 2011- 1.6/ 1.8 1.4 CONECTOR NEGRO,1,"CRC 38,200.00",0.00,0.00
234-4637 234-4020 234-4636 MD335040 SENSOR DE OXIGENO LANCER 4G13 MIGHTY MAX ECLIPSE DODGE RAM 50 234- 4837 25,1,"CRC 38,200.00",0.00,0.00
"234-4690 250-24357 HYUNDI ELANTRA, ACCENT TRACE 95-01",1,"CRC 41,400.00",0.00,0.00
234-4703 250-24632 24544 XTERRA FRONTIER33,1,"CRC 219,000.00",0.00,0.00
"234-4742 15462 250-24242 MONT 3L , 3.5L 99-04 S1 LH 5OHM LARGO GRIS B2S1",1,"CRC 28,300.00",0.00,0.00
234-4921 234-4189 TACOMA 00-04 2.7 2.4,1,"CRC 30,600.00",0.00,0.00
234-9011 IMPRESA 02-04 2.0 TURBO,1,"CRC 92,000.00",0.00,0.00
234-9033 250-54034 4PIN A/F SUZUKI VITARA SX4 18213-54LA0 18213-64J10,1,"CRC 98,256.00",0.00,0.00
234-9036 NISSAN 208-2013 211200-7310 22693-1NA0A 18213-82Z50,1,"CRC 138,142.00",0.00,0.00
234-9044 RAV4 01-04 NACIONAL,1,"CRC 123,000.00",0.00,0.00
234-9299 SUZUKI VITARA 09- SENSOR DE OXIGENO BANCO 2,1,"CRC 141,900.00",0.00,0.00
235-1149 PC458,1,"CRC 68,900.00",0.00,0.00
235-1203 PC464 NISSAN SENTRA 02-06 FRONTIER 05-10 ALTIMA 02-06 XTRAIL 02-07,4,"CRC 210,000.00",0.00,0.00
237311VA0A 5S11486,1,"CRC 35,144.00",0.00,0.00
24355-26703 VVT112 VVT113 VALVULA VVTI ACCENT RIO 06-12,2,"CRC 84,050.00",0.00,0.00
"250-23131 24618 3LINEAS NISSAN, FRONTIER , ALTIMA CELESTE 15363 BOSCH 234-3",1,"CRC 38,200.00",0.00,0.00
250-24178 234-4488 0258006027 258006027 SENSOR DE OXIGENO PEUGEOT 206,1,"CRC 38,200.00",0.00,0.00
25312200 234-4284 24626 SENSOR IZUSU RODEO GMC 234-4063 3200 Y 3500CC GELLY,1,"CRC 70,600.00",0.00,0.00
27301--23500 UF-340 BOBINA ELANTRA,1,"CRC 45,800.00",0.00,0.00
"28164-23700 5WK86431 MAS0255HY TUCS06-092L,ELANTRA 03-06 2L KIA SPORTAGE 06",2,"CRC 95,600.00",0.00,0.00
28910-3E100 VALVULA PURGA CANISTER HYUNDAI 06-13 CP545,2,"CRC 69,300.00",0.00,0.00
