s.Product_ID,s.Month_Year,s.Total_Quantity,s.Net_Sales,itf.Available_Stock,itf.Cost_Fallback,lp.Last_Purchase_Price,Stock_On_Hand
4198696000012057300,2025-05,1,2654.87,6,"CRC 1,850.00",1850,6
4198696000000836985,2024-05,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000010341763,2024-10,2,22123.89,0,"CRC 6,300.00",6300,0
4198696000000602356,2023-12,2,27256.64,11,"CRC 11,324.54",11324.539999999999,11
4198696000003636439,2024-03,1,26991.15,0,"CRC 19,990.00",19990,0
4198696000010698235,2024-10,1,51327.43,0,"CRC 37,309.72",37309.72,0
4198696000002572824,2024-10,1,27079.65,12,"CRC 20,000.00",20000,12
4198696000003252580,2024-11,1,6757.52,1,"CRC 5,429.46",5429.46,1
4198696000012057300,2025-01,2,5309.73,6,"CRC 1,850.00",1850,6
4198696000000138106,2025-01,2,12566.37,48,"CRC 3,104.64",2425.5,48
4198696000003952946,2024-07,1,3982.3,10,"CRC 2,926.00",2926,10
4198696000008788218,2024-08,1,10530.97,2,"CRC 7,800.00",7800,2
4198696000001613411,2024-08,1,11265.49,5,"CRC 8,730.53",8730.53,5
4198696000000864550,2024-09,2,13805.31,4,"CRC 5,099.62",5099.62,4
4198696000000669768,2025-03,2,3745.13,0,"CRC 1,479.50",1674.07,0
4198696000020824597,2025-04,1,33716.81,3,"CRC 24,950.00",24950,3
4198696000006545507,2025-04,2,11398.23,7,"CRC 4,526.40",4526.400000000001,7
4198696000000862111,2025-04,1,16194.69,7,"CRC 11,941.56",11941.560000000001,7
4198696000022953733,2025-05,1,19621.24,0,"CRC 15,750.00",15751,0
4198696000004421295,2025-05,1,4119.47,189,"CRC 2,379.00",1677.5,189
4198696000024424249,2025-06,1,13759.29,0,"CRC 11,061.95",11061.95,0
4198696000000142219,2025-06,2,530.97,448,CRC 70.40,55,448
4198696000011107102,2025-07,1,12831.86,9,"CRC 9,441.02",9441.02,9
4198696000010046409,2025-09,2,17150.44,12,"CRC 5,550.00",5550,12
4198696000001612079,2025-10,1,16637.17,3,"CRC 10,770.93",10770.93,3
