d.Item_ID,d.SKU,d.Sales_24M_Qty,d.Sales_24M_Net,d.Avg_Demand_Used,Last_Purchase_Date,lp.Last_Purchase_Price,Last_Purchase_Price_Fallback,On_Hand_Qty,st.Current_Unit_Rate,Coverage_Months,Stock_Shortfall,Reorder_Eligibility,Cost_Delta,Cost_Delta_Pct
4198696000004161576,531-011,7,56000,0.2916666666666667,,,5184,4,5184,13.714285714285714,0,0,,
4198696000001629990,800-062,1,43225,0.041666666666666664,,,29800,0,29800,0,0.125,1,,
4198696000001612664,518-0557,1,37168,0.041666666666666664,,,26450.16,1,26450.16,24,0,0,,
4198696000001408343,524-0596,1,5700,0.041666666666666664,,,3700,1,3700,24,0,0,,
4198696000000678016,376-91,8,34950,0.3333333333333333,,,2904.83,0,2904.83,0,1,1,,
4198696000019056614,800-2731,1,15088,0.041666666666666664,,,10690,0,10690,0,0.125,1,,
4198696000017650832,253-1000,2,12920,0.08333333333333333,,,4400,1,4400,12,0,0,,
4198696000012094017,800-1666,1,16100,0.041666666666666664,,,5945.133,0,5945.133,0,0.125,1,,
4198696000006422795,800-1073,1,46400,0.041666666666666664,,,30392.55,0,30392.55,0,0.125,1,,
4198696000002266151,529-081,6,168300,0.25,,,19800,5,19800,20,0,0,,
4198696000000864316,509-2503,1,9600,0.041666666666666664,,,6291,7,6291,168,0,0,,
4198696000010341624,800-1810,1,116000,0.041666666666666664,,,74990,0,74990,0,0.125,1,,
4198696000005905085,800-933,1,13300,0.041666666666666664,,,8700,0,8700,0,0.125,1,,
4198696000004421268,214-1003,3,16909.2,0.125,,,3159,197,3159,1576,0,0,,
4198696000002797706,800-194,2,35600,0.08333333333333333,,,12929.55,0,12929.55,0,0.25,1,,
4198696000001045821,512-046,1,35500,0.041666666666666664,,,23255.46,4,23255.46,96,0,0,,
4198696000029368207,800-4129,8,26194.69,0.3333333333333333,,,2420,0,2420,0,1,1,,
4198696000026638435,800-3745,1,7700,0.041666666666666664,,,3111,0,3111,0,0.125,1,,
4198696000023429274,800-3314,1,17600,0.041666666666666664,,,11500,0,11500,0,0.125,1,,
4198696000007116053,800-1265,1,26700,0.041666666666666664,,,17487.22,0,17487.22,0,0.125,1,,
4198696000001610639,520-0006,1,24600,0.041666666666666664,,,16098.37,4,16098.37,96,0,0,,
4198696000020837180,509-0245,1,6900,0.041666666666666664,,,5611.54,,5611.54,,,0,,
4198696000020811181,72-3107,6,50616.07,0.25,,,5734.95,5,5734.95,20,0,0,,
4198696000015464697,75-1023,2,78823.01,0.08333333333333333,,,18600,28,18600,336,0,0,,
4198696000009852920,520-0157,5,146538.94,0.20833333333333334,,,18286.24,2,18286.24,9.6,0,0,,
4198696000001615094,522-0138,6,120000,0.25,,,14127.71,0,14127.71,0,0.75,1,,
4198696000000899700,503-022,10,39600,0.4166666666666667,,,2712.91,16,2712.91,38.4,0,0,,
4198696000000669642,3-17,4,13000,0.16666666666666666,,,2046.07,0,2046.07,0,0.5,1,,
4198696000031591027,800-4385,1,16548.67,0.041666666666666664,,,9559,0,9559,0,0.125,1,,
4198696000029035040,800-4086,1,11685,0.041666666666666664,,,8000,0,8000,0,0.125,1,,
4198696000026792938,800-3778,1,7360,0.041666666666666664,,,4999,0,4999,0,0.125,1,,
4198696000011594792,800-2018,1,10600,0.041666666666666664,,,6600,0,6600,0,0.125,1,,
4198696000004592138,800-572,2,8400,0.08333333333333333,,,3200,0,3200,0,0.25,1,,
4198696000003590738,800-358,1,2900,0.041666666666666664,,,1900,0,1900,0,0.125,1,,
4198696000001610459,520-0054,1,33900,0.041666666666666664,,,22188.82,4,22188.82,96,0,0,,
4198696000000679141,72-1031,2,9752,0.08333333333333333,,,3606.78,4,3606.78,48,0,0,,
4198696000026460538,800-3724,1,24390,0.041666666666666664,,,17752.8,0,17752.8,0,0.125,1,,
4198696000006693815,800-1160,1,32000,0.041666666666666664,,,15200,0,15200,0,0.125,1,,
4198696000004093620,800-474,2,36400,0.08333333333333333,,,13192.03,0,13192.03,0,0.25,1,,
4198696000028559009,800-4015,1,148584.07,0.041666666666666664,,,110000,0,110000,0,0.125,1,,
4198696000019511349,800-2809,1,7452,0.041666666666666664,,,5254.96,0,5254.96,0,0.125,1,,
4198696000012887369,510-1031,13,1488770.79,0.5416666666666666,,,85189.9,2,85189.9,3.6923076923076925,0,0,,
4198696000011064504,512-217,2,25000,0.08333333333333333,,,8710.75,0,8710.75,0,0.25,1,,
4198696000009640007,800-1701,2,50000,0.08333333333333333,,,9950,0,9950,0,0.25,1,,
4198696000006967405,517-1000,6,164093.17,0.25,,,18604.95,1,18604.95,4,0,0,,
4198696000006583904,800-1128,1,62600,0.041666666666666664,,,40944.41,0,40944.41,0,0.125,1,,
4198696000004417745,11-1013,2,39400,0.08333333333333333,,,9672,48,9672,576,0,0,,
4198696000003215001,529-054,4,104000,0.16666666666666666,,,17000,8,17000,48,0,0,,
4198696000001089136,127-1008,24,16800,1,,,407.14,44,407.14,44,0,0,,
4198696000001040941,77-1,97,8909.98,4.041666666666667,,,28.16,113,28.16,27.958762886597935,0,0,,
4198696000000137125,11-288,8,155628.32,0.3333333333333333,,,7000,19,7000,57,0,0,,
4198696000028427007,524-0688,1,120300,0.041666666666666664,,,78457.46,1,78457.46,24,0,0,,
4198696000022194479,800-3137,2,15000,0.08333333333333333,,,4600,0,4600,0,0.25,1,,
4198696000018476031,800-2615,1,9990,0.041666666666666664,,,6100,0,6100,0,0.125,1,,
4198696000009895291,800-1751,1,7300,0.041666666666666664,,,2860,0,2860,0,0.125,1,,
4198696000002976593,800-230,1,15800,0.041666666666666664,,,12885.85,0,12885.85,0,0.125,1,,
4198696000000141076,118-5,1,2600,0.041666666666666664,,,901.12,38,901.12,912,0,0,,
4198696000007440260,3-162,1,10900,0.041666666666666664,,,7115.51,3,7115.51,72,0,0,,
4198696000027125609,800-3811,1,28500,0.041666666666666664,,,17800,0,17800,0,0.125,1,,
4198696000018430019,800-2608,2,74520,0.08333333333333333,,,26504.42,0,26504.42,0,0.25,1,,
4198696000006389576,800-1060,2,26200,0.08333333333333333,,,8533.89,0,8533.89,0,0.25,1,,
4198696000005207406,800-769,1,7600,0.041666666666666664,,,4978.33,0,4978.33,0,0.125,1,,
4198696000019511625,800-2811,1,40000,0.041666666666666664,,,25990,0,25990,0,0.125,1,,
4198696000021426934,800-3072,1,32000,0.041666666666666664,,,20000,0,20000,0,0.125,1,,
4198696000005450152,800-831,1,50700,0.041666666666666664,,,47449.25,0,47449.25,0,0.125,1,,
4198696000005698107,800-898,1,11400,0.041666666666666664,,,9323.4,0,9323.4,0,0.125,1,,
4198696000015289126,800-2297,1,45500,0.041666666666666664,,,29788.2,0,29788.2,0,0.125,1,,
4198696000024047735,106-3009,21,289289.45,0.875,,,9228.45,0,9228.45,0,2.625,1,,
4198696000012720591,95-2009,1,2800,0.041666666666666664,,,2535,13,2535,312,0,0,,
4198696000010046409,517-3006,12,101639.29,0.5,,,5550,12,5550,24,0,0,,
4198696000008726514,800-1554,3,111544,0.125,,,25000,0,25000,0,0.375,1,,
4198696000007471557,524-0152,1,6800,0.041666666666666664,,,4400,2,4400,48,0,0,,
4198696000006545394,106-2007,12,56577.6,0.5,,,3100.4,6,3100.4,12,0,0,,
4198696000004629713,57-500,1,49000,0.041666666666666664,,,22000,49,22000,1176,0,0,,
4198696000004190983,517-1057,5,145700,0.20833333333333334,,,18530.6,0,18530.6,0,0.625,1,,
4198696000003661309,72-3094,8,21952,0.3333333333333333,,,1798.06,4,1798.06,12,0,0,,
4198696000001663046,800-067,3,31000,0.125,,,5600,0,5600,0,0.375,1,,
4198696000001612727,518-0564,2,101800,0.08333333333333333,,,34583.22,4,34583.22,48,0,0,,
