SKU,Product_ID,Invoice_Date,Line_Quantity,Line_Total_BCY
,4198696000003701048,05 Mar 2024,4.00,1238.94
,4198696000003723157,06 Mar 2024,1.00,6814.16
,4198696000003723159,06 Mar 2024,1.00,1946.9
,4198696000003723244,06 Mar 2024,1.00,14955.75
,4198696000003723246,06 Mar 2024,1.00,8761.06
,4198696000003725004,06 Mar 2024,1.00,21858.41
,4198696000003763651,07 Mar 2024,1.00,11495.58
,4198696000003766166,07 Mar 2024,1.00,3805.31
,4198696000003766278,07 Mar 2024,6.00,23362.83
,4198696000003789229,08 Mar 2024,1500.00,1327.43
,4198696000003790164,08 Mar 2024,1.00,92035.4
,4198696000003791188,08 Mar 2024,1.00,22566.37
,4198696000003813004,09 Mar 2024,1.00,12743.36
,4198696000003813006,09 Mar 2024,1.00,1858.41
,4198696000003813091,09 Mar 2024,1.00,17876.11
,4198696000003813093,09 Mar 2024,1.00,17876.11
,4198696000003813095,09 Mar 2024,1.00,17168.14
,4198696000003813097,09 Mar 2024,2.00,2654.87
,4198696000003829308,11 Mar 2024,1.00,6283.19
,4198696000003829310,11 Mar 2024,1.00,5044.25
,4198696000003835303,11 Mar 2024,1.00,11238.94
,4198696000003839098,11 Mar 2024,1.00,13893.81
,4198696000003845288,11 Mar 2024,2.00,11504.42
,4198696000003845432,11 Mar 2024,1.00,10353.98
,4198696000003913578,13 Mar 2024,1.00,20088.5
,4198696000003913691,13 Mar 2024,2.00,25486.73
,4198696000003913693,13 Mar 2024,2.70,836.28
,4198696000003913938,13 Mar 2024,1.00,3362.83
,4198696000003919004,13 Mar 2024,1.00,15044.25
,4198696000003919006,13 Mar 2024,1.00,8761.06
,4198696000003919175,13 Mar 2024,1.00,2920.35
,4198696000003919587,14 Mar 2024,1.00,13628.32
,4198696000003927234,14 Mar 2024,1.00,5840.71
,4198696000003927236,14 Mar 2024,2.00,15929.2
,4198696000003927238,14 Mar 2024,2.00,6725.66
,4198696000003927240,14 Mar 2024,2.00,20707.96
,4198696000003935343,13 Mar 2024,10.00,221.24
,4198696000003952820,15 Mar 2024,1.00,17522.12
,4198696000003952822,15 Mar 2024,1.00,17522.12
,4198696000003962638,16 Mar 2024,2.00,46017.7
,4198696000003976668,16 Mar 2024,2.00,26725.66
,4198696000003976670,16 Mar 2024,1.00,2920.35
,4198696000003991004,18 Mar 2024,1.00,1946.9
,4198696000004019121,18 Mar 2024,1.00,41858.41
,4198696000004019123,18 Mar 2024,1.00,1592.92
,4198696000004045375,19 Mar 2024,1.00,50088.5
,4198696000004045377,19 Mar 2024,1.00,50088.5
,4198696000004045615,19 Mar 2024,2.00,31504.42
,4198696000004055256,19 Mar 2024,1.00,23008.85
,4198696000004055377,19 Mar 2024,4.00,3893.81
,4198696000004060107,19 Mar 2024,2.00,34159.29
,4198696000004076708,20 Mar 2024,1.00,44778.76
,4198696000004076925,20 Mar 2024,1.00,7079.65
,4198696000004080651,20 Mar 2024,1.00,6194.69
,4198696000004080653,20 Mar 2024,1.00,6460.18
,4198696000004080749,20 Mar 2024,1.00,7168.14
,4198696000004080751,20 Mar 2024,1.00,8053.1
,4198696000004080753,20 Mar 2024,2.00,5132.74
,4198696000004080916,20 Mar 2024,1.00,11946.9
,4198696000004094088,20 Mar 2024,1.00,3893.81
,4198696000004094129,20 Mar 2024,2.00,32212.39
,4198696000004105921,21 Mar 2024,9.00,43805.31
,4198696000004105923,21 Mar 2024,2.00,8849.56
,4198696000004105925,21 Mar 2024,2.00,4424.78
,4198696000004106026,20 Mar 2024,2.00,41061.95
,4198696000004111320,21 Mar 2024,1.00,25044.25
,4198696000004127718,22 Mar 2024,3.00,63982.3
,4198696000004127798,23 Mar 2024,1.00,18584.07
,4198696000004141004,22 Mar 2024,1.00,25044.25
,4198696000004141006,22 Mar 2024,16.00,4955.75
,4198696000004141275,23 Mar 2024,1.00,9292.04
,4198696000004141979,25 Mar 2024,1.00,21327.43
,4198696000004141981,25 Mar 2024,1.00,21327.43
,4198696000004141983,25 Mar 2024,5.00,1548.67
,4198696000004149142,22 Mar 2024,1.00,4159.29
,4198696000004149399,25 Mar 2024,1.00,41238.94
,4198696000004161117,25 Mar 2024,1.00,12831.86
,4198696000004161119,25 Mar 2024,1.00,309.73
,4198696000004161223,25 Mar 2024,7.10,2199.12
,4198696000004161225,25 Mar 2024,1.00,19115.04
,4198696000004161227,25 Mar 2024,1.00,18584.07
,4198696000004190943,25 Mar 2024,10.00,15044.25
,4198696000004210204,26 Mar 2024,1.00,16283.19
,4198696000004224319,26 Mar 2024,2.00,35752.21
,4198696000004227205,26 Mar 2024,1.00,38672.57
,4198696000004270194,27 Mar 2024,1.00,6814.16
,4198696000004270479,27 Mar 2024,1.00,1681.42
,4198696000004271160,03 Apr 2024,1.00,2566.37
,4198696000004271162,03 Apr 2024,1.00,1946.9
,4198696000004271164,03 Apr 2024,1.00,1946.9
,4198696000004271166,03 Apr 2024,1.00,1946.9
,4198696000004271168,03 Apr 2024,1.00,442.48
,4198696000004301160,30 Mar 2024,1.00,14159.29
,4198696000004305425,03 Apr 2024,1.00,3805.31
,4198696000004324028,01 Apr 2024,1.00,6283.19
,4198696000004343028,01 Apr 2024,2.00,75398.23
,4198696000004343149,02 Apr 2024,1.00,15575.22
,4198696000004362122,02 Apr 2024,1.00,4070.8
,4198696000004423026,02 Apr 2024,2.00,15044.25
,4198696000004435485,03 Apr 2024,2.00,12743.36
,4198696000004435673,03 Apr 2024,1.00,7345.13
,4198696000004435675,03 Apr 2024,1.00,5752.21
,4198696000004435749,03 Apr 2024,1.00,10353.98
,4198696000004477026,04 Apr 2024,2.00,707.96
,4198696000004483249,04 Apr 2024,1.00,12300.88
,4198696000004497432,04 Apr 2024,1.00,4601.77
,4198696000004559200,05 Apr 2024,1.00,1327.43
,4198696000004575070,06 Apr 2024,4.00,22300.88
,4198696000004575072,06 Apr 2024,4.00,92035.4
,4198696000004592026,08 Apr 2024,1.00,43539.82
,4198696000004603358,08 Apr 2024,1.00,16548.67
,4198696000004624476,08 Apr 2024,1.00,4336.28
,4198696000004646073,10 Apr 2024,1.00,37610.62
,4198696000004646157,10 Apr 2024,1.00,4601.77
,4198696000004646387,10 Apr 2024,1.00,10796.46
,4198696000004646389,10 Apr 2024,1.00,10088.5
,4198696000004646391,10 Apr 2024,2.00,10442.48
,4198696000004646393,10 Apr 2024,2.00,6017.7
,4198696000004672392,11 Apr 2024,2.00,353.98
,4198696000004672394,11 Apr 2024,1.00,5309.73
,4198696000004672468,11 Apr 2024,2.00,63539.82
,4198696000004672470,11 Apr 2024,6.00,1858.41
,4198696000004672655,11 Apr 2024,1.00,25044.25
,4198696000004672657,11 Apr 2024,1.00,25044.25
,4198696000004745026,13 Apr 2024,1.00,2920.35
,4198696000004748222,13 Apr 2024,0.10,1495.58
,4198696000004770116,16 Apr 2024,2.00,17522.12
